0401;CYRILLIC CAPITAL LETTER IO
0410;CYRILLIC CAPITAL LETTER A
0411;CYRILLIC CAPITAL LETTER BE
0412;CYRILLIC CAPITAL LETTER VE
0413;CYRILLIC CAPITAL LETTER GHE
0414;CYRILLIC CAPITAL LETTER DE
0415;CYRILLIC CAPITAL LETTER IE
0416;CYRILLIC CAPITAL LETTER ZHE
0417;CYRILLIC CAPITAL LETTER ZE
0418;CYRILLIC CAPITAL LETTER I
0419;CYRILLIC CAPITAL LETTER SHORT I
041A;CYRILLIC CAPITAL LETTER KA
041B;CYRILLIC CAPITAL LETTER EL
041C;CYRILLIC CAPITAL LETTER EM
041D;CYRILLIC CAPITAL LETTER EN
041E;CYRILLIC CAPITAL LETTER O
041F;CYRILLIC CAPITAL LETTER PE
0420;CYRILLIC CAPITAL LETTER ER
0421;CYRILLIC CAPITAL LETTER ES
0422;CYRILLIC CAPITAL LETTER TE
0423;CYRILLIC CAPITAL LETTER U
0424;CYRILLIC CAPITAL LETTER EF
0425;CYRILLIC CAPITAL LETTER HA
0426;CYRILLIC CAPITAL LETTER TSE
0427;CYRILLIC CAPITAL LETTER CHE
0428;CYRILLIC CAPITAL LETTER SHA
0429;CYRILLIC CAPITAL LETTER SHCHA
042A;CYRILLIC CAPITAL LETTER HARD SIGN
042B;CYRILLIC CAPITAL LETTER YERU
042C;CYRILLIC CAPITAL LETTER SOFT SIGN
042D;CYRILLIC CAPITAL LETTER E
042E;CYRILLIC CAPITAL LETTER YU
042F;CYRILLIC CAPITAL LETTER YA
0430;CYRILLIC SMALL LETTER A
0431;CYRILLIC SMALL LETTER BE
0432;CYRILLIC SMALL LETTER VE
0433;CYRILLIC SMALL LETTER GHE
0434;CYRILLIC SMALL LETTER DE
0435;CYRILLIC SMALL LETTER IE
0436;CYRILLIC SMALL LETTER ZHE
0437;CYRILLIC SMALL LETTER ZE
0438;CYRILLIC SMALL LETTER I
0439;CYRILLIC SMALL LETTER SHORT I
043A;CYRILLIC SMALL LETTER KA
043B;CYRILLIC SMALL LETTER EL
043C;CYRILLIC SMALL LETTER EM
043D;CYRILLIC SMALL LETTER EN
043E;CYRILLIC SMALL LETTER O
043F;CYRILLIC SMALL LETTER PE
0440;CYRILLIC SMALL LETTER ER
0441;CYRILLIC SMALL LETTER ES
0442;CYRILLIC SMALL LETTER TE
0443;CYRILLIC SMALL LETTER U
0444;CYRILLIC SMALL LETTER EF
0445;CYRILLIC SMALL LETTER HA
0446;CYRILLIC SMALL LETTER TSE
0447;CYRILLIC SMALL LETTER CHE
0448;CYRILLIC SMALL LETTER SHA
0449;CYRILLIC SMALL LETTER SHCHA
044A;CYRILLIC SMALL LETTER HARD SIGN
044B;CYRILLIC SMALL LETTER YERU
044C;CYRILLIC SMALL LETTER SOFT SIGN
044D;CYRILLIC SMALL LETTER E
044E;CYRILLIC SMALL LETTER YU
044F;CYRILLIC SMALL LETTER YA
0451;CYRILLIC SMALL LETTER IO
